Year;Movie;Bond;Director;Producer;Avg_User_IMDB;Avg_User_Rtn_Tom
1962;Dr. No;Sean Connery;Terence Young;Harry Saltzman & Albert R. Broccoli;7.3;7.7
1963;From Russia with Love;Sean Connery;Terence Young;Harry Saltzman & Albert R. Broccoli;7.5;8.0
1964;Goldfinger;Sean Connery;Guy Hamilton;Harry Saltzman & Albert R. Broccoli;7.8;8.4
1965;Thunderball;Sean Connery;Terence Young;Richard Maibaum & John Hopkins;7.0;6.8
1967;You Only Live Twice;Sean Connery;Lewis Gilbert;Harry Saltzman & Albert R. Broccoli;6.9;6.3
1969;On Her Majesty's Secret Service;George Lazenby;Peter R. Hunt;Harry Saltzman & Albert R. Broccoli;6.8;6.7
1971;Diamonds Are Forever;Sean Connery;Guy Hamilton;Harry Saltzman & Albert R. Broccoli;6.7;6.3
1973;Live and Let Die;Roger Moore;Guy Hamilton;Harry Saltzman & Albert R. Broccoli;6.8;5.9
1974;The Man with the Golden Gun;Roger Moore;Guy Hamilton;Harry Saltzman & Albert R. Broccoli;6.7;5.1
1977;The Spy Who Loved Me;Roger Moore;Lewis Gilbert;Albert R. Broccoli;7.1;6.8
1979;Moonraker;Roger Moore;Lewis Gilbert;Albert R. Broccoli;6.2;5.7
1981;For Your Eyes Only;Roger Moore;John Glen;Albert R. Broccoli;6.8;6.3
1983;Octopussy;Roger Moore;John Glen;Albert R. Broccoli;6.5;5.3
1985;A View to a Kill;Roger Moore;John Glen;Albert R. Broccoli & Michael G. Wilson;6.2;4.7
1987;The Living Daylights;Timothy Dalton;John Glen;Albert R. Broccoli & Michael G. Wilson;6.7;6.3
1989;Licence to Kill;Timothy Dalton;John Glen;Albert R. Broccoli & Michael G. Wilson;6.5;6.0
1995;GoldenEye;Pierce Brosnan;Martin Campbell;Michael G. Wilson & Barbara Broccoli;7.2;6.9
1997;Tomorrow Never Dies;Pierce Brosnan;Roger Spottiswoode;Michael G. Wilson & Barbara Broccoli;6.4;6.0
1999;The World Is Not Enough;Pierce Brosnan;Michael Apted;Michael G. Wilson & Barbara Broccoli;6.3;5.7
2002;Die Another Day;Pierce Brosnan;Lee Tamahori;Michael G. Wilson & Barbara Broccoli;6.0;6.1
2006;Casino Royale;Daniel Craig;Martin Campbell;Michael G. Wilson & Barbara Broccoli;7.9;7.8
2008;Quantum of Solace;Daniel Craig;Marc Forster;Michael G. Wilson & Barbara Broccoli;6.7;6.1
2012;Skyfall;Daniel Craig;Sam Mendes;Michael G. Wilson & Barbara Broccoli;7.8;8.2
2015;Spectre;Daniel Craig;Sam Mendes;Michael G. Wilson & Barbara Broccoli;6.8;6.4
2020;No Time to Die;Daniel Craig;Cary Joji Fukunaga;Michael G. Wilson & Barbara Broccoli;7.3;8.3
