movie;female_encounters;actress_female_encounters;main_bond_girl;actress_main_bond_girl
Dr. No;Sylvia Trench;Eunice Gayson;Honey Ryder;Ursula Andress
Dr. No;Miss Taro;Zena Marshall;Honey Ryder;Ursula Andress
Dr. No;Honey Ryder;Ursula Andress;Honey Ryder;Ursula Andress
From Russia with Love;Sylvia Trench Vida Zora Tatiana Romanova;Eunice Gayson Aliza Gur Martine Beswick Daniela Bianchi;Tatiana Romanova;Eunice Gayson Aliza Gur Martine Beswick Daniela Bianchi
Goldfinger;Bonita Jill;Nadja Regin;Pussy Galore;Honor Blackman
Goldfinger;Masterson Pussy;Shirley Eaton;Pussy Galore;Honor Blackman
Goldfinger;Galore;Honor Blackman;Pussy Galore;Honor Blackman
Thunderball;Patricia Fearing;Molly Peters;Domino Derval;Claudine Auger
Thunderball;Paula Caplan;Martine Beswick;Domino Derval;Claudine Auger
Thunderball;Fiona Volpe;Luciana Paluzzi;Domino Derval;Claudine Auger
Thunderball;Domino Derval;Claudine Auger;Domino Derval;Claudine Auger
You Only Live Twice;Ling Aki Helga Brandt Kissy Suzuki;Tsai Chin Akiko Wakabayashi Karin Dor Mie Hama;Kissy Suzuki;Tsai Chin Akiko Wakabayashi Karin Dor Mie Hama
On Her Majesty's Secret Service;Tracy Bond (Teresa di Vicenzo);Diana Rigg;Tracy Bond (Teresa di Vicenzo);Diana Rigg
On Her Majesty's Secret Service;Ruby Bartlett;Angela Scoular;Tracy Bond (Teresa di Vicenzo);Diana Rigg
On Her Majesty's Secret Service;Nancy;Catherine Von Schell;Tracy Bond (Teresa di Vicenzo);Diana Rigg
Diamonds Are Forever;Tiffany Case Plenty O'Toole;Jill St. John Lana Wood;Tiffany Case;Jill St. John Lana Wood
Live and Let Die;Miss Caruso;Madeline Smith;Solitaire;Jane Seymour
Live and Let Die;Rosie Carver;Gloria Hendry;Solitaire;Jane Seymour
Live and Let Die;Solitaire;Jane Seymour;Solitaire;Jane Seymour
The Man with the Golden Gun;Andrea Anders;Maud Adams;Mary Goodnight;Britt Ekland
The Man with the Golden Gun;Saida Mary;Carmen du Sautoy;Mary Goodnight;Britt Ekland
The Man with the Golden Gun;Goodnight;Britt Ekland;Mary Goodnight;Britt Ekland
The Spy Who Loved Me;Martine Blanchaud Harem Tent Girl Anya Amasova;Sue Vanner Dawn Rodrigues Barbara Bach;Anya Amasova;Sue Vanner Dawn Rodrigues Barbara Bach
Moonraker;Corinne Dufour;Corinne Cléry;Holly Goodhead;Lois Chiles
Moonraker;Manuela Holly;Emily Bolton;Holly Goodhead;Lois Chiles
Moonraker;Goodhead;Lois Chiles;Holly Goodhead;Lois Chiles
For Your Eyes Only;Countess Lisl von Schlaf;Cassandra Harris;Melina Havelock;Carole Bouquet
For Your Eyes Only;Melina Havelock;Carole Bouquet;Melina Havelock;Carole Bouquet
Octopussy;Bianca (implied) Magda Octopussy;Tina Hudson Kristina Wayborn Maud Adams;Octopussy;Tina Hudson Kristina Wayborn Maud Adams
A View to a Kill;Kimberley Jones;Mary Stavin;Stacey Sutton;Tanya Roberts
A View to a Kill;May Day;Grace Jones;Stacey Sutton;Tanya Roberts
A View to a Kill;Pola Ivanova;Fiona Fullerton;Stacey Sutton;Tanya Roberts
A View to a Kill;Stacey Sutton;Tanya Roberts;Stacey Sutton;Tanya Roberts
The Living Daylights;Linda Kara;Kell Tyler;Kara Milovy;Maryam d'Abo
The Living Daylights;Milovy;Maryam d'Abo;Kara Milovy;Maryam d'Abo
Licence to Kill;Pam Bouvier;Carey Lowell;Pam Bouvier;Carey Lowell
Licence to Kill;Lupe Lamora;Talisa Soto;Pam Bouvier;Carey Lowell
GoldenEye;Caroline Xenia;Serena Gordon;Natalya Simonova;Izabella Scorupco
GoldenEye;Onatopp Natalya;Famke Janssen;Natalya Simonova;Izabella Scorupco
GoldenEye;Simonova;Izabella Scorupco;Natalya Simonova;Izabella Scorupco
Tomorrow Never Dies;Prof. Inga Bergstrom Paris Carver Wai Lin;Cecilie Thomsen Teri Hatcher Michelle Yeoh;Wai Lin;Cecilie Thomsen Teri Hatcher Michelle Yeoh
The World Is Not Enough;Dr. Molly;Serena Scott;Dr. Christmas Jones;Richards
The World Is Not Enough;Warmflash Elektra;Thomas Sophie;Dr. Christmas Jones;Richards
The World Is Not Enough;King Dr. Christmas;Marceau Denise;Dr. Christmas Jones;Richards
The World Is Not Enough;Jones;Richards;Dr. Christmas Jones;Richards
Die Another Day;"Giacinta ""Jinx"" Johnson Miranda Frost";Halle Berry Rosamund Pike;"Giacinta ""Jinx"" Johnson";Halle Berry Rosamund Pike
Casino Royale2006 version;Solange Dimitrios;Caterina Murino;Vesper Lynd;Eva Green
Casino Royale2006 version;Vesper Lynd;Eva Green;Vesper Lynd;Eva Green
Quantum of Solace;Camille Montes;Olga Kurylenko;Camille Montes;Olga Kurylenko
Quantum of Solace;Strawberry Fields;Gemma Arterton;Camille Montes;Olga Kurylenko
Skyfall;Unnamed Girl;Tonia Sotiropoulou;Sévérine;Berenice Marlohe
Skyfall;Sévérine;Berenice Marlohe;Sévérine;Berenice Marlohe
Spectre;Estrella Lucia;Stephanie Sigman;Madeleine Swann;Léa Seydoux
Spectre;Sciarra Madeleine;Monica Bellucci;Madeleine Swann;Léa Seydoux
Spectre;Swann;Léa Seydoux;Madeleine Swann;Léa Seydoux
No Time to Die;Madeleine Swann;Léa Seydoux;Madeleine Swann;Léa Seydoux
