bond_girl;actress;movie;image_url;search_title
Anya Amasova;Sue Vanner Dawn Rodrigues Barbara Bach;The Spy Who Loved Me;https://static.wikia.nocookie.net/jamesbond/images/6/6b/Anya_Amasova_%28Barbara_Bach%29_-_Profile.jpg;Anya Amasova
Camille Montes;Olga Kurylenko;Quantum of Solace;https://static.wikia.nocookie.net/jamesbond/images/f/f2/Camille_Montes_%28Olga_Kurylenko%29_-_Profile.jpg;Camille Montes
Domino Derval;Claudine Auger;Thunderball;https://static.wikia.nocookie.net/jamesbond/images/8/82/Domino_Derval_-_Profile.png;Domino Derval
Dr. Christmas Jones;Richards;The World Is Not Enough;https://static.wikia.nocookie.net/jamesbond/images/6/6f/Christmas_Jones_%28Denise_Richards%29_-_Profile.jpg;Dr. Christmas Jones
Giacinta "Jinx" Johnson";Halle Berry;Die Another Day;https://static.wikia.nocookie.net/jamesbond/images/2/25/Jinx_%28Halle_Berry%29_-_Profile.jpg;Giacinta "Jinx" Johnson (Halle Berry)
Holly Goodhead;Lois Chiles;Moonraker;https://static.wikia.nocookie.net/jamesbond/images/0/0a/Holly_Goodhead_%28Lois_Chiles%29_-_Profile.jpg;Holly Goodhead (Lois Chiles)
Honey Ryder;Ursula Andress;Dr. No;https://static.wikia.nocookie.net/jamesbond/images/4/42/Honey_Ryder_%28Ursula_Andress%29_-_Profile.png;Honey Ryder (Ursula Andress)
Kara Milovy;Maryam d'Abo;The Living Daylights;https://static.wikia.nocookie.net/jamesbond/images/1/18/Kara_Milovy_%28Maryam_d%27Abo%29_-_Profile.png;Kara Milovy
Kissy Suzuki;Mie Hama;You Only Live Twice;https://static.wikia.nocookie.net/jamesbond/images/a/a2/Kissy_Suzuki_-_Profile.png;Kissy Suzuki
Madeleine Swann;Léa Seydoux;Spectre;https://static.wikia.nocookie.net/jamesbond/images/d/d4/Profile_-_Madeleine_Swann.png;Madeleine Swann
Mary Goodnight;Britt Ekland;The Man with the Golden Gun;https://static.wikia.nocookie.net/jamesbond/images/c/c4/Mary_Goodnight_%28Britt_Ekland%29_-_Profile.jpg;Mary Goodnight (Britt Ekland)
Melina Havelock;Carole Bouquet;For Your Eyes Only;https://static.wikia.nocookie.net/jamesbond/images/3/34/Melina_Havelock_%28Carole_Bouquet%29_-_Profile.jpg;Melina Havelock
Natalya Simonova;Izabella Scorupco;GoldenEye;https://static.wikia.nocookie.net/jamesbond/images/1/1d/02%2BIzabella%2BScorupco%2Bas%2BNatalya%2BSimonova.jpg;Natalya Simonova (Izabella Scorupco)
Octopussy;Maud Adams;Octopussy;https://static.wikia.nocookie.net/jamesbond/images/8/84/Octopussy_%28Maud_Adams%29_-_Profile.png;Octopussy (Maud Adams)
Pam Bouvier;Carey Lowell;Licence to Kill;https://static.wikia.nocookie.net/jamesbond/images/9/96/Pam_Bouvier_%28Carey_Lowell%29_-_Profile.jpg;Pam Bouvier
Pussy Galore;Honor Blackman;Goldfinger;https://static.wikia.nocookie.net/jamesbond/images/c/cf/Pussy_Galore_%28Honor_Blackman%29_-_Profile.png;Pussy Galore (Honor Blackman)
Solitaire;Jane Seymour;Live and Let Die;https://static.wikia.nocookie.net/jamesbond/images/e/ef/Solitaire_%28Jane_Seymour%29_-_Profile.jpg;Solitaire (Jane Seymour)
Stacey Sutton;Tanya Roberts;A View to a Kill;https://static.wikia.nocookie.net/jamesbond/images/7/7e/Stacy_Sutton_-_Profile.png;Stacey Sutton
Sévérine;Berenice Marlohe;Skyfall;https://static.wikia.nocookie.net/jamesbond/images/3/35/S%C3%A9v%C3%A9rine_%28Berenice_Marlohe%29_-_Profile.jpg;Sévérine
Tatiana Romanova;Daniela Bianchi;From Russia with Love;https://static.wikia.nocookie.net/jamesbond/images/5/5b/Tatiana_Romanova_%28Daniela_Bianchi%29_-_Profile.jpg;Tatiana Romanova
Tiffany Case;Jill St. John Lana Wood;Diamonds Are Forever;https://static.wikia.nocookie.net/jamesbond/images/5/5b/Tatiana_Romanova_%28Daniela_Bianchi%29_-_Profile.jpg;Tiffany Case (Jill St. John)
Tracy Bond (Countess Teresa di Vicenzo);Diana Rigg;On Her Majesty's Secret Service;https://static.wikia.nocookie.net/jamesbond/images/9/99/Tracy_Bond_%28Diana_Rigg%29_-_Profile.jpg;Tracy Bond (Diana Rigg)
Vesper Lynd;Eva Green;Casino Royale2006 version;https://static.wikia.nocookie.net/jamesbond/images/c/ca/Vesper_Lynd_%28Eva_Green%29_-_Profile.png;Vesper Lynd (Eva Green)
Wai Lin;Cecilie Thomsen Teri Hatcher Michelle Yeoh;Tomorrow Never Dies;https://static.wikia.nocookie.net/jamesbond/images/0/0b/Wai_Lin_Profile.png;Wai Lin
