character;actor
James Bond;Daniel Craig
Dominic Greene;Mathieu Amalric
Camille Montes;Olga Kurylenko
Strawberry Fields;Gemma Arterton
M;Judi Dench
René Mathis;Giancarlo Giannini
Felix Leiter;Jeffrey Wright
Mr. White;Jesper Christensen
General Medrano;Joaquin Cosio
Elvis;Anatole Taubman
Bill Tanner;Rory Kinnear
Craig Mitchell;Glenn Foster
Gregg Beam;David Harbour
Yusef Kabira;Simon Kassianides
Guy Haines;Paul Ritter
Colonel Carlos;Fernando Guillen Cuervo
Gemma;Lucrezia Lante della Rovere
Greene's Driver;Carl von Malaisé
M's bodyguard;Mark Wakeling
Lieutenant Orso;Jesús Ochoa
Gregor Karakov;Kamil Krejcí
Moishe Soref;Erosi Margiani
Marchetti Pilot;Antonio Gil
Edmund Slate;Neil Jackson
Corinne Veneau;Stana Katic
Haines' Bodyguard;Derek Lea
Eva Green;Unknown
